 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.453973,3.18779,-0.0124448,1.55762,48.3068,10.263,0.788764,0.814048,-0.0100104,0.99995,8.72742,0.0508238,-1.78668,-1.80273,-1.79912,-1.79458,7.9387,9.54143,9.18137
0.455181,3.18139,-0.0122368,1.557,48.3576,10.2785,0.792681,0.818889,-0.0103616,0.999946,8.72691,0.0507896,-1.83701,-1.85371,-1.84994,-1.84523,7.93427,9.54575,9.18206
0.456437,3.17501,-0.0120275,1.5564,48.4084,10.294,0.788384,0.815658,-0.0106997,0.999943,8.72637,0.0507564,-1.88741,-1.90457,-1.90073,-1.89584,7.93803,9.54198,9.18278
0.45774,3.16865,-0.0118168,1.5558,48.4592,10.3094,0.785876,0.814295,-0.0110248,0.999939,8.72582,0.0507242,-1.93777,-1.95541,-1.95148,-1.94643,7.94,9.54007,9.18354
0.459089,3.16229,-0.0116048,1.55521,48.5099,10.3247,0.786765,0.816255,-0.0113367,0.999936,8.72526,0.050693,-1.98807,-2.00624,-2.0022,-1.99699,7.93854,9.54146,9.18432
0.460482,3.15595,-0.0113915,1.55464,48.5606,10.34,0.786263,0.816937,-0.0116355,0.999932,8.72468,0.0506627,-2.03838,-2.05703,-2.05288,-2.04752,7.93847,9.54156,9.18513
0.461918,3.14962,-0.0111771,1.55407,48.6113,10.3553,0.784095,0.815978,-0.0119212,0.999929,8.72408,0.0506336,-2.08868,-2.10776,-2.10354,-2.09803,7.94004,9.54,9.18597
0.463396,3.14331,-0.0109615,1.55352,48.6619,10.3705,0.785029,0.818084,-0.0121936,0.999926,8.72347,0.0506054,-2.13894,-2.15849,-2.15416,-2.14851,7.9385,9.5415,9.18683
0.464914,3.137,-0.0107448,1.55298,48.7125,10.3856,0.788887,0.823208,-0.0124527,0.999923,8.72285,0.0505781,-2.18915,-2.20922,-2.20476,-2.19897,7.93403,9.546,9.18773
0.466472,3.13071,-0.010527,1.55245,48.7631,10.4007,0.788358,0.823975,-0.0126986,0.999919,8.72222,0.0505518,-2.2394,-2.25987,-2.25533,-2.24941,7.93392,9.54613,9.18865
0.468068,3.12443,-0.0103082,1.55193,48.8136,10.4158,0.783168,0.820029,-0.0129312,0.999916,8.72157,0.0505266,-2.28969,-2.31043,-2.30587,-2.29982,7.93847,9.54153,9.1896
0.4697,3.11817,-0.0100885,1.55142,48.8641,10.4308,0.780916,0.8191,-0.0131503,0.999914,8.72091,0.0505022,-2.33995,-2.36099,-2.35639,-2.35021,7.94007,9.53994,9.19057
0.471368,3.11192,-0.0098678,1.55092,48.9147,10.4457,0.780267,0.819847,-0.0133561,0.999911,8.72025,0.0504789,-2.39017,-2.41154,-2.40688,-2.40059,7.94005,9.54002,9.19157
